year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,volvo,xc70,t6,wagon,automatic,yv4902nb3f1198103,ca,42,16506.0,brown,brown,volvo na rep/world omni,32100,32500,26-02-2015
2015,volvo,xc70,t6,wagon,automatic,yv4902nb3f1196951,ca,48,12725.0,beige,beige,volvo na rep/world omni,32300,32500,12-02-2015
2014,bmw,x5,sdrive35i,suv,automatic,5uxkr2c52e0h33130,ca,34,11278.0,gray,black,avis rac/san leandro,50400,34000,16-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e35e9238302,ca,42,11874.0,gray,black,midway hfc fleet/ars,22200,19500,18-12-2014
2014,chevrolet,cruze,1lt,sedan,automatic,1g1pc5sb2e7105471,ca,42,37888.0,gray,black,enterprise vehicle exchange/orange,11600,11500,30-12-2014
2014,audi,sq5,3.0t premium plus quattro,suv,automatic,wa1cgafp4ea030312,ca,42,9606.0,white,black,audi of downtown l a,48600,47500,29-01-2015
2015,kia,sorento,lx,suv,automatic,5xyktca60fg565226,ca,5,13757.0,red,black,kia motors america  inc,20600,20750,16-12-2014
2014,audi,s5,premium plus quattro,coupe,automatic,waucgafrxea001689,ca,38,5875.0,black,black,fratelli investment group,46500,44500,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca68fg559481,ca,44,12862.0,gray,black,kia motors america  inc,20700,21000,16-12-2014
2014,buick,verano,convenience group,sedan,unknown,1g4pr5sk8e4175320,ca,2,19531.0,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15000,9200,06-01-2015
2015,chevrolet,suburban,ltz,suv,automatic,1gnskkkc3fr187901,ca,45,11426.0,black,black,midway hfc fleet/ars,57300,59900,18-12-2014
2014,bmw,3 series,328i sulev,sedan,automatic,wba3c1c50ek108497,ca,5,111.0,black,—,financial services remarketing (lease),32200,30500,15-01-2015
2014,bmw,m5,base,sedan,automatic,wbsfv9c56ed593069,ca,38,16360.0,black,black,the hertz corporation,65000,64250,13-01-2015
2014,bmw,3 series,328i sulev,sedan,automatic,wba3c1c58ek106688,ca,45,9027.0,white,black,financial services remarketing (lease),30200,27500,15-01-2015
2014,cadillac,elr,base,coupe,automatic,1g6rr1e48eu601450,ca,47,4436.0,gray,black,rogue cu,49400,44000,04-02-2015
2015,hyundai,sonata,se,sedan,automatic,5npe24af2fh014813,ca,34,9208.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15700,10000,18-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c50ed169281,ca,32,13205.0,white,black,the hertz corporation,66000,65000,06-01-2015
2015,volvo,v60,t5,wagon,automatic,yv1612sb9f1202043,ca,41,11846.0,white,beige,volvo na rep/world omni,31300,30000,18-12-2014
2014,chevrolet,cruze,1lt,sedan,unknown,1g1pc5sb6e7128803,ca,34,38261.0,white,—,avis tra,11450,2000,16-12-2014
2014,bmw,x6,xdrive35i,suv,automatic,5uxfg2c53e0h11080,ca,4,379.0,white,black,financial services remarketing (lease),54800,51700,18-12-2014
2015,volvo,v60,t5,wagon,automatic,yv1612sb1f1201503,ca,42,12242.0,black,gray,volvo na rep/world omni,31200,30000,18-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb6e7118217,ca,34,40661.0,silver,black,avis corporation,13050,13000,22-01-2015
2014,acura,ilx,technology package,sedan,automatic,19vde1f70ee008913,ca,25,9051.0,gray,black,american honda motor company,22700,21250,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca67fg570973,ca,5,13878.0,silver,black,kia motors america  inc,20600,20750,16-12-2014
2015,volvo,v60,t5,wagon,automatic,yv1612sbxf1202276,ca,37,10906.0,silver,black,volvo na rep/world omni,31500,30000,18-12-2014
2015,nissan,altima,2.5 s,sedan,automatic,1n4al3ap4fn313644,ca,34,10678.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,18-12-2014
2014,bmw,6 series gran coupe,650i,sedan,automatic,wba6b2c51ed129563,ca,42,7305.0,white,black,the hertz corporation,65000,66100,17-12-2014
2015,nissan,altima,2.5 s,sedan,automatic,1n4al3ap1fn331213,ca,1,4314.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,30-12-2014
2015,kia,k900,luxury,sedan,automatic,knalw4d42f6019667,ca,42,5304.0,blue,black,kia motors america  inc,39500,40000,17-02-2015
2015,kia,sorento,lx,suv,automatic,5xyktca63fg570727,ca,48,10357.0,silver,gray,kia motors america  inc,20700,20500,16-12-2014
2015,chevrolet,malibu,lt,sedan,automatic,1g11d5sl6fu106427,ca,1,6105.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,16600,9800,14-01-2015
2015,lexus,rx 350,base,suv,automatic,2t2zk1ba7fc155782,ca,43,7770.0,white,black,lexus financial services,41200,38400,30-12-2014
2015,kia,sorento,lx,suv,automatic,5xykt3a62fg579841,ca,5,5214.0,white,black,kia motors finance,19400,19300,16-12-2014
2014,bmw,m5,base,sedan,automatic,wbsfv9c51ed097712,ca,47,7766.0,gray,black,fratelli investment group,71000,77250,18-12-2014
2015,kia,k900,luxury,sedan,automatic,knalw4d42f6018633,ca,44,9684.0,white,gray,kia motors america  inc,41000,41000,20-01-2015
2015,audi,a3,1.8 tfsi premium,sedan,automatic,wauacgff6f1029938,ca,2,31.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,24200,17300,23-12-2014
2015,nissan,versa,1.6 sl,sedan,manual,3n1cn7ap7fl842707,ca,39,1608.0,purple,black,nissan-infiniti lt,10900,11000,17-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e35e9238493,ca,31,9914.0,black,black,midway hfc fleet/ars,22500,20600,18-12-2014
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae2fh565969,ca,1,7879.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca6xfg560888,ca,5,14176.0,white,black,kia motors america  inc,20600,21250,16-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e33e9211499,ca,41,17594.0,gray,black,midway hfc fleet/ars,21500,19600,18-12-2014
2015,audi,a3,1.8 tfsi premium,sedan,automatic,wauacgff1f1002467,ca,5,1906.0,gray,black,audi north scottsdale,24100,25750,18-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c55ed169261,ca,4,8037.0,black,black,the hertz corporation,67000,65000,06-01-2015
2015,nissan,versa note,1.6 sv,hatchback,automatic,3n1ce2cp8fl371361,ca,2,5773.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,12050,9000,13-01-2015
2014,audi,a8,l 3.0t quattro,sedan,automatic,waurgafd8en003111,ca,43,32918.0,black,black,audi west covina,62000,50000,30-12-2014
2014,bmw,x1,sdrive28i,suv,automatic,wbavm1c53evw47779,ca,48,19689.0,white,black,financial services remarketing (lease),23700,26500,18-12-2014
2014,bmw,unknown,750li,sedan,automatic,wbaye8c59ed134514,ca,43,12172.0,black,black,financial services remarketing (lease),67000,66000,18-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e31e9248986,ca,1,20595.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,20800,13600,16-12-2014
2015,volvo,v60,t5,wagon,automatic,yv1612sb8f1201529,ca,4,13623.0,silver,black,volvo na rep/world omni,28400,28000,26-02-2015
2014,bmw,6 series,650i,coupe,automatic,wbaym9c53ed248064,ca,4,9837.0,black,—,financial services remarketing (lease),62000,61500,18-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e37e9270877,ca,3,13606.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,21400,13000,06-01-2015
2014,bmw,6 series gran coupe,650i,sedan,automatic,wba6b2c53ed128866,ca,29,37752.0,white,black,financial services remarketing (lease),62000,58000,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca68fg570979,ca,44,9161.0,silver,black,kia motors america  inc,20800,22250,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca65fg571619,ca,5,11001.0,white,black,kia motors america  inc,20700,22500,16-12-2014
2014,buick,enclave,leather group,suv,automatic,5gakrbkd2ej294045,ca,1,14599.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,31000,24100,30-12-2014
2014,bmw,m5,base,sedan,automatic,wbsfv9c54ed593085,ca,38,13386.0,white,black,the hertz corporation,67000,65000,18-12-2014
2014,bmw,m5,base,sedan,automatic,wbsfv9c55ed593080,ca,41,15161.0,white,black,the hertz corporation,66000,65801,23-12-2014
2014,audi,tts,quattro,coupe,automatic,trub1afk9e1007640,ca,28,3996.0,silver,black,fratelli investment group,41400,34250,18-12-2014
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae2fh566023,ca,2,10551.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,10600,13-01-2015
2014,bmw,4 series,428i sulev,coupe,automatic,wba3n7c55ef719079,ca,37,18152.0,white,black,street smartz auto sales corporation,31000,39750,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca64fg570963,ca,46,13452.0,silver,black,kia motors america  inc,20600,21500,16-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb5e7115504,ca,41,37938.0,black,black,avis rac/san leandro,12950,13700,17-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb0e7134820,ca,42,39623.0,blue,black,avis corporation,13350,13200,15-01-2015
2014,chevrolet,silverado 2500hd,work truck,crew cab,unknown,1gc1kvc84ef152736,ca,36,8742.0,white,gray,enterprise fleet management exchange  inc.,34000,34000,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca60fg563086,ca,5,16348.0,gray,gray,kia motors america  inc,20500,20500,16-12-2014
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae2fh553630,ca,34,9750.0,blue,gray,avis rac/san leandro,13700,10000,16-12-2014
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae4fh552981,ca,35,3367.0,silver,gray,ag leaseplan,13900,13200,17-12-2014
2014,acura,mdx,advance and entertainment packages,suv,automatic,5fryd3h83eb011004,ca,49,21523.0,white,gray,onemain rem/m&m auto traders,39500,41500,18-12-2014
2015,ford,fusion,se,sedan,automatic,3fa6p0h7xfr151689,ca,1,4205.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000,17-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c53ed169288,ca,37,8891.0,silver,black,the hertz corporation,68000,67200,17-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb8e7420706,ca,2,8154.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150,10000,18-12-2014
2014,chevrolet,silverado 1500,lt,crew cab,automatic,3gcpcrecxeg363552,ca,37,6726.0,black,black,repo remarketing/visterra credit union,26900,30250,17-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb4e7109323,ca,37,36771.0,silver,black,avis rac/san leandro,13000,13600,17-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca67fg567068,ca,49,9552.0,burgundy,beige,kia motors america  inc,20800,21000,16-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb3e7406616,ca,1,10673.0,red,black,enterprise vehicle exchange / tra / rental / tulsa,14150,3300,16-12-2014
2015,volvo,v60,t5,wagon,automatic,yv1612sb6f1202338,ca,37,14806.0,white,beige,volvo na rep/world omni,30700,30000,18-12-2014
2014,chevrolet,camaro,ls,coupe,manual,2g1fe1e34e9190976,ca,44,7924.0,white,black,tdaf remarketing,17850,18500,16-12-2014
2015,nissan,altima,2.5 s,sedan,automatic,1n4al3ap4fn310470,ca,1,12752.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,14600,9500,30-12-2014
2014,bmw,6 series,650i,convertible,automatic,wbayp9c5xed169286,ca,38,19499.0,silver,—,the hertz corporation,63000,62000,12-02-2015
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae0fh574105,ca,1,6759.0,blue,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,5800,17-12-2014
2014,bmw,5 series,535d,sedan,automatic,wbaxa5c52ed689665,ca,48,12292.0,white,black,financial services remarketing (lease),46300,46500,15-01-2015
2014,bmw,6 series,650i,convertible,automatic,wbayp9c59ed169280,ca,37,15727.0,white,black,the hertz corporation,66000,65000,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca64fg570672,ca,49,13711.0,white,black,kia motors america  inc,20600,21750,16-12-2014
2014,cadillac,srx,luxury,suv,automatic,3gyfnbe32es536307,ca,44,8683.0,white,black,lease plan usa,33500,30000,23-12-2014
2014,bmw,x5,xdrive35i,suv,automatic,5uxkr0c54e0k49204,ca,5,4503.0,white,black,financial services remarketing (lease),57500,57250,18-12-2014
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae8fh565992,ca,2,7800.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,13800,9000,16-12-2014
2014,chevrolet,cruze,1lt,sedan,unknown,1g1pc5sbxe7113253,ca,28,40393.0,gray,black,avis corporation,11450,11700,30-12-2014
2014,chevrolet,silverado 1500,lt,crew cab,automatic,3gcukrec9eg452373,ca,4,9685.0,white,black,ars/acme auto leasing,31700,30000,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca60fg570829,ca,5,10615.0,burgundy,black,kia motors america  inc,20700,20500,16-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca61fg560973,ca,48,13031.0,purple,black,kia motors america  inc,20600,20750,16-12-2014
2014,acura,ilx,base,sedan,automatic,19vde1f38ee011281,ca,41,12905.0,silver,gray,american honda motor company,19950,20400,18-12-2014
2015,kia,sorento,lx,suv,automatic,5xyktca61fg566806,ca,48,16611.0,gray,black,kia motors america  inc,20500,20750,16-12-2014
2015,volvo,v60,t5,wagon,automatic,yv1612sb2f1201221,ca,41,12273.0,white,beige,volvo na rep/world omni,31200,30000,18-12-2014
2014,chevrolet,camaro,lt,coupe,automatic,2g1fb1e34e9292660,ca,34,11204.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,21900,10250,16-12-2014
2014,chevrolet,cruze,2lt,sedan,automatic,1g1pe5sb4e7102937,ca,42,40560.0,gray,brown,avis corporation,12800,12800,12-02-2015
2015,hyundai,elantra,se,sedan,automatic,5npdh4ae5fh572401,ca,34,5335.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,13850,6600,16-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek4dm921604,ca,45,14716.0,white,black,nissan infiniti lt,25900,25000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap3dm726059,ca,46,68.0,black,black,nissan infiniti lt,25700,27250,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6apxdm714541,ca,45,24112.0,white,black,nissan infiniti lt,22800,22500,18-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek8dm920763,ca,47,4859.0,black,black,nissan infiniti lt,27200,26750,18-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek8dm900321,ca,45,21126.0,black,beige,nissan infiniti lt,25100,26500,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap5dm714009,ca,42,26675.0,blue,black,nissan infiniti lt,22500,23750,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap5dm713958,ca,42,19978.0,white,black,nissan infiniti lt,23300,24500,18-12-2014
2013,infiniti,fx,fx37,suv,automatic,jn8cs1mu2dm140046,ca,43,10532.0,black,black,nissan infiniti lt,30800,32000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap4dm712848,ca,41,25859.0,blue,black,infiniti financial services,22700,21750,17-12-2014
2013,hyundai,santa fe,limited,suv,automatic,km8srdhf0du002596,ca,5,14974.0,white,gray,hyundai buybacks,28300,27000,16-12-2014
2013,hyundai,genesis,5.0 r-spec,sedan,automatic,kmhgc4dh7du220016,ca,47,21463.0,gray,black,hyundai motor america/co car,27100,27400,16-12-2014
2013,hyundai,equus,signature,sedan,automatic,kmhgh4jh9du063479,ca,41,22961.0,gray,black,hyundai buybacks,31500,25000,13-01-2015
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap1dm302069,ca,37,21144.0,—,black,nissan infiniti lt,23100,24250,18-12-2014
2013,hyundai,elantra,gls,sedan,automatic,kmhdh4ae9du490167,ca,26,56651.0,red,beige,hyundai motor finance,10250,10700,16-12-2014
2013,hyundai,santa fe,limited,suv,automatic,km8srdhf8du000644,ca,5,11439.0,white,brown,hyundai motor america/co car,28500,30800,16-12-2014
2013,hyundai,elantra,gls,sedan,automatic,5npdh4ae8dh348469,ca,44,39935.0,silver,gray,enterprise vehicle exchange/orange,11250,11000,17-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek0dm900927,ca,41,20317.0,gray,black,nissan infiniti lt,25200,26250,18-12-2014
2013,hyundai,elantra,gls,sedan,automatic,5npdh4ae5dh342001,ca,2,37436.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,11400,8800,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap9dm712232,ca,35,26888.0,white,gray,nissan infiniti lt,22400,23250,18-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek0dm920093,ca,48,7815.0,white,black,nissan infiniti lt,26800,27000,18-12-2014
2013,hyundai,sonata,gls,sedan,automatic,5npeb4ac9dh691294,ca,43,54830.0,silver,gray,avis rac/san leandro,10950,11500,17-12-2014
2013,hyundai,elantra,gls,sedan,manual,5npdh4ae9dh235016,ca,49,2606.0,white,beige,hyundai motor america/co car,13450,12300,16-12-2014
2013,hyundai,sonata,gls,sedan,automatic,5npeb4ac4dh712021,ca,39,36416.0,blue,gray,enterprise vehicle exchange/orange,12150,11400,17-12-2014
2013,hyundai,elantra,gls,sedan,automatic,5npdh4ae0dh356789,ca,45,26412.0,black,beige,aaero sweet company,12050,11750,17-12-2014
2013,hyundai,sonata hybrid,limited,sedan,automatic,kmhec4a40da089523,ca,21,11099.0,silver,gray,hyundai motor america/co car,19650,16500,27-01-2015
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap0dm725418,ca,45,11250.0,black,black,nissan infiniti lt,24300,23500,18-12-2014
2013,hyundai,sonata hybrid,limited,sedan,automatic,kmhec4a46da091860,ca,48,16386.0,white,gray,hyundai motor america/co car,18000,18800,16-12-2014
2013,hyundai,santa fe,sport,suv,automatic,5xyztdlb9dg057378,ca,48,20663.0,gray,gray,hyundai motor america/co car,19500,19200,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap2dm714887,ca,43,16154.0,gray,black,nissan infiniti lt,23700,22750,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap2dm712055,ca,42,22405.0,gray,gray,nissan infiniti lt,23000,23000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap5dm713801,ca,38,28172.0,silver,black,nissan infiniti lt,22300,21000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap2dm712170,ca,47,18600.0,white,black,nissan infiniti lt,23400,24750,18-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek5dm900518,ca,43,17523.0,—,black,nissan infiniti lt,25600,26500,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6apxdm712417,ca,4,11440.0,black,black,nissan infiniti lt,24300,23000,18-12-2014
2013,hyundai,sonata,gls,sedan,automatic,5npeb4ac5dh771160,ca,36,28231.0,gray,gray,gm financial,12650,13400,17-12-2014
2013,hyundai,santa fe,limited,suv,automatic,km8sr4hf7du008024,ca,42,13225.0,black,brown,hyundai motor america/co car,23400,26000,16-12-2014
2013,hyundai,sonata,gls,sedan,automatic,5npeb4acxdh744455,ca,35,41888.0,gray,gray,avis corporation,11800,11900,18-12-2014
2013,hyundai,sonata,limited,sedan,automatic,5npec4ac6dh513954,ca,37,35428.0,black,beige,hyundai motor finance,16000,16200,13-01-2015
2013,hyundai,elantra,gls,sedan,automatic,5npdh4ae4dh327134,ca,35,36307.0,gray,gray,enterprise vehicle exchange/orange,11500,11700,16-12-2014
2013,hyundai,sonata hybrid,limited,sedan,automatic,kmhec4a48da092248,ca,46,13736.0,black,beige,hyundai motor america/co car,18350,17700,16-12-2014
2013,hyundai,elantra,gls,sedan,automatic,5npdh4ae8dh345667,ca,2,25442.0,gold,beige,enterprise vehicle exchange / tra / rental / tulsa,12150,6700,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap4dm303216,ca,44,15208.0,white,black,nissan infiniti lt,23800,25250,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6apxdm713003,ca,25,10929.0,white,gray,nissan infiniti lt,24700,21000,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap9dm300442,ca,44,29672.0,white,black,nissan infiniti lt,22100,23000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6apxdm712403,ca,37,22165.0,black,beige,nissan infiniti lt,23000,22750,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap8dm717292,ca,45,21263.0,black,beige,nissan infiniti lt,23100,22000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6apxdm715446,ca,45,24971.0,gray,black,nissan infiniti lt,22900,21250,17-12-2014
2013,hyundai,elantra,limited,sedan,automatic,5npdh4ae0dh358462,ca,45,37290.0,white,beige,enterprise vehicle exchange/orange,11400,11000,17-12-2014
2013,hyundai,santa fe,sport 2.0t,suv,automatic,5xyzw3la5dg114166,ca,47,17367.0,black,beige,hyundai motor america/co car,21400,24100,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap6dm714973,ca,43,11847.0,white,beige,nissan infiniti lt,24200,25000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap9dm719505,ca,41,15562.0,gray,black,nissan infiniti lt,23800,24500,18-12-2014
2013,hyundai,sonata,limited,sedan,automatic,5npec4ac2dh608074,ca,43,18479.0,white,burgundy,hyundai motor america/co car,16900,18100,16-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap8dm711170,ca,44,22021.0,black,black,nissan infiniti lt,23000,22000,18-12-2014
2013,hyundai,accent,gls,sedan,automatic,kmhct4ae9du436426,ca,2,34136.0,black,beige,enterprise vehicle exchange / tra / rental / tulsa,9700,8100,23-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap7dm710348,ca,4,28668.0,gray,—,nissan infiniti lt,22400,23000,23-12-2014
2013,hyundai,veloster,turbo,hatchback,automatic,kmhtc6ae4du168333,ca,36,10474.0,white,black,hyundai motor america/co car,15000,16100,16-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ek3dm921383,ca,42,16338.0,gray,black,nissan infiniti lt,25700,25500,18-12-2014
2013,hyundai,accent,gls,sedan,automatic,kmhct4ae6du446069,ca,34,47010.0,silver,gray,hertz/tra,9275,3500,16-12-2014
2013,hyundai,elantra coupe,se,elantra coupe,automatic,kmhdh6ae8du000216,ca,43,11809.0,black,black,hyundai motor america/co car,14600,16100,16-12-2014
2013,infiniti,g coupe,g37 sport,g coupe,automatic,jn1cv6ekxdm920134,ca,42,15131.0,white,black,nissan infiniti lt,25900,26000,18-12-2014
2013,infiniti,g sedan,g37 journey,g sedan,automatic,jn1cv6ap4dm301420,ca,45,28053.0,black,black,nissan infiniti lt,22300,25000,18-12-2014
